year,month,delhi_rs_per_kl,mumbai_rs_per_kl,kolkata_rs_per_kl,chennai_rs_per_kl,atf_price_index
2024,January,101993,95373,105650,106250,100.0
2024,February,100772,94246,104380,104980,98.8
2024,March,101396,94849,105030,105630,99.41
2024,April,100893,94330,104510,105110,98.92
2024,May,99845,93310,103420,104020,97.89
2024,June,93580,87432,96910,97470,91.75
2024,July,96152,89908,99570,100150,94.27
2024,August,97975,91650,101460,102050,96.06
2024,September,93480,87350,96800,97360,91.65
2024,October,87597,81866,90700,91220,85.89
2024,November,90538,84642,93740,94280,88.77
2024,December,90540,84650,93750,94300,88.77
2025,January,90250,84380,93450,94000,88.49
2025,February,92400,86390,95680,96240,90.59
2025,March,93100,87040,96400,96970,91.28
2025,April,94500,88350,97850,98430,92.65
2025,May,93800,87690,97130,97700,91.97
2025,June,91600,85630,94850,95410,89.81
2025,July,94800,88630,98160,98740,92.95
2025,August,96200,89940,99610,100200,94.32
2025,September,92800,86750,96100,96660,90.99
2025,October,91200,85250,94440,95000,89.42
2025,November,93500,87400,96820,97390,91.67
2025,December,95100,88900,98480,99060,93.24
2026,January,92300,86280,95580,96140,90.5
2026,February,91800,85810,95060,95620,90.01
2026,March,93400,87310,96720,97280,91.57
2026,April,95800,89550,99200,99780,93.93
2026,May,97200,90860,100650,101240,95.3
2026,June,94600,88430,97960,98530,92.75
2026,July,96800,90490,100240,100830,94.91
2026,August,101650,95020,105260,105880,99.66
2026,September,107200,100210,111010,111660,105.11
