rank,city1,city2,iata1,iata2,route_code,pax_to,pax_from,total_passengers,route_weight_percent,cumulative_weight_percent
1,MUMBAI,DELHI,BOM,DEL,BOM-DEL,2784752,2831167,5615919,4.1285,4.1285
2,BENGALURU,DELHI,BLR,DEL,BLR-DEL,2221129,2243352,4464481,3.282,7.4105
3,BENGALURU,MUMBAI,BLR,BOM,BLR-BOM,1820305,1841479,3661784,2.6919,10.1024
4,DELHI,SRINAGAR,DEL,SXR,DEL-SXR,1404653,1397251,2801904,2.0598,12.1622
5,DELHI,KOLKATA,DEL,CCU,DEL-CCU,1396825,1307098,2703923,1.9878,14.15
6,DELHI,HYDERABAD,DEL,HYD,DEL-HYD,1306104,1291720,2597824,1.9098,16.0597
7,DELHI,PUNE,DEL,PNQ,DEL-PNQ,1275732,1256205,2531937,1.8613,17.9211
8,MUMBAI,DABOLIM,BOM,GOI,BOM-GOI,1120143,1144547,2264690,1.6649,19.5859
9,MUMBAI,CHENNAI,BOM,MAA,BOM-MAA,1050077,1055365,2105442,1.5478,21.1337
10,AHMEDABAD,DELHI,AMD,DEL,AMD-DEL,1040187,1049451,2089638,1.5362,22.6699
11,CHENNAI,DELHI,MAA,DEL,MAA-DEL,1015722,1030650,2046372,1.5044,24.1743
12,DABOLIM,DELHI,GOI,DEL,GOI-DEL,984085,974779,1958864,1.44,25.6143
13,AHMEDABAD,MUMBAI,AMD,BOM,AMD-BOM,927558,906175,1833733,1.348,26.9624
14,BENGALURU,HYDERABAD,BLR,HYD,BLR-HYD,890200,903306,1793506,1.3185,28.2808
15,BENGALURU,KOLKATA,BLR,CCU,BLR-CCU,886589,856233,1742822,1.2812,29.562
16,MUMBAI,HYDERABAD,BOM,HYD,BOM-HYD,841906,843582,1685488,1.2391,30.8011
17,MUMBAI,KOLKATA,BOM,CCU,BOM-CCU,809522,787663,1597185,1.1742,31.9753
18,DELHI,PATNA,DEL,PAT,DEL-PAT,785658,744467,1530125,1.1249,33.1001
19,BENGALURU,PUNE,BLR,PNQ,BLR-PNQ,743512,769404,1512916,1.1122,34.2123
20,DELHI,GUWAHATI,DEL,GAU,DEL-GAU,732424,757349,1489773,1.0952,35.3075
21,BENGALURU,KOCHI,BLR,COK,BLR-COK,707509,713924,1421433,1.045,36.3525
22,DELHI,LUCKNOW,DEL,LKO,DEL-LKO,669044,674098,1343142,0.9874,37.3399
23,BENGALURU,CHENNAI,BLR,MAA,BLR-MAA,559293,582832,1142125,0.8396,38.1795
24,CHENNAI,HYDERABAD,MAA,HYD,MAA-HYD,557779,554070,1111849,0.8174,38.9969
25,MUMBAI,JAIPUR,BOM,JAI,BOM-JAI,547010,538515,1085525,0.798,39.7949
26,BHUBANESWAR,DELHI,BBI,DEL,BBI-DEL,512850,527480,1040330,0.7648,40.5597
27,BENGALURU,DABOLIM,BLR,GOI,BLR-GOI,499317,509844,1009161,0.7419,41.3015
28,BAGDOGRA,DELHI,IXB,DEL,IXB-DEL,483738,522324,1006062,0.7396,42.0411
29,GUWAHATI,KOLKATA,GAU,CCU,GAU-CCU,463031,489113,952144,0.7,42.7411
30,AHMEDABAD,BENGALURU,AMD,BLR,AMD-BLR,468268,463907,932175,0.6853,43.4264
31,KOCHI,DELHI,COK,DEL,COK-DEL,468361,462253,930614,0.6841,44.1105
32,HYDERABAD,KOLKATA,HYD,CCU,HYD-CCU,471020,437479,908499,0.6679,44.7784
33,DELHI,LEH,DEL,IXL,DEL-IXL,466119,438974,905093,0.6654,45.4437
34,DABOLIM,HYDERABAD,GOI,HYD,GOI-HYD,455934,441634,897568,0.6598,46.1036
35,DELHI,RANCHI,DEL,IXR,DEL-IXR,452736,444696,897432,0.6597,46.7633
36,CHENNAI,KOLKATA,MAA,CCU,MAA-CCU,439802,427764,867566,0.6378,47.4011
37,AGARTALA,KOLKATA,IXA,CCU,IXA-CCU,429146,413052,842198,0.6191,48.0202
38,MUMBAI,CHANDIGARH,BOM,IXC,BOM-IXC,421355,409329,830684,0.6107,48.6309
39,AMRITSAR,DELHI,ATQ,DEL,ATQ-DEL,407749,418884,826633,0.6077,49.2386
40,DELHI,JAMMU,DEL,IXJ,DEL-IXJ,395093,430245,825338,0.6067,49.8453
41,MUMBAI,LUCKNOW,BOM,LKO,BOM-LKO,422306,399200,821506,0.6039,50.4492
42,CHENNAI,COIMBATORE,MAA,CJB,MAA-CJB,401025,391409,792434,0.5825,51.0318
43,MUMBAI,KOCHI,BOM,COK,BOM-COK,391446,395623,787069,0.5786,51.6104
44,DELHI,VARANASI,DEL,VNS,DEL-VNS,389035,369874,758909,0.5579,52.1683
45,MUMBAI,NAGPUR,BOM,NAG,BOM-NAG,368998,387947,756945,0.5565,52.7248
46,DELHI,INDORE,DEL,IDR,DEL-IDR,377512,375651,753163,0.5537,53.2784
47,CHANDIGARH,DELHI,IXC,DEL,IXC-DEL,371163,379909,751072,0.5521,53.8306
48,DELHI,RAIPUR,DEL,RPR,DEL-RPR,360391,359970,720361,0.5296,54.3602
49,HYDERABAD,VISAKHAPATNAM,HYD,VTZ,HYD-VTZ,364171,352245,716416,0.5267,54.8868
50,BENGALURU,LUCKNOW,BLR,LKO,BLR-LKO,310595,325401,635996,0.4675,55.3544
51,DELHI,JAIPUR,DEL,JAI,DEL-JAI,323658,301393,625051,0.4595,55.8139
52,BAGDOGRA,KOLKATA,IXB,CCU,IXB-CCU,317861,298822,616683,0.4533,56.2672
53,MUMBAI,VARANASI,BOM,VNS,BOM-VNS,315207,297650,612857,0.4505,56.7177
54,DEHRADUN,DELHI,DED,DEL,DED-DEL,301756,305423,607179,0.4464,57.1641
55,BENGALURU,BHUBANESWAR,BLR,BBI,BLR-BBI,287080,304523,591603,0.4349,57.599
56,MUMBAI,INDORE,BOM,IDR,BOM-IDR,291986,293316,585302,0.4303,58.0293
57,HYDERABAD,TIRUPATI,HYD,,HYDERABAD-TIRUPATI,289671,291015,580686,0.4269,58.4562
58,BENGALURU,GUWAHATI,BLR,GAU,BLR-GAU,285452,287885,573337,0.4215,58.8777
59,DELHI,UDAIPUR,DEL,UDR,DEL-UDR,274763,280010,554773,0.4078,59.2855
60,BHUBANESWAR,MUMBAI,BBI,BOM,BBI-BOM,273193,269853,543046,0.3992,59.6847
61,BENGALURU,JAIPUR,BLR,JAI,BLR-JAI,268560,273314,541874,0.3984,60.0831
62,DELHI,NAGPUR,DEL,NAG,DEL-NAG,264433,264748,529181,0.389,60.4721
63,MUMBAI,UDAIPUR,BOM,UDR,BOM-UDR,262584,266458,529042,0.3889,60.861
64,CHENNAI,PUNE,MAA,PNQ,MAA-PNQ,262485,265680,528165,0.3883,61.2493
65,CHENNAI,KOCHI,MAA,COK,MAA-COK,263685,260356,524041,0.3852,61.6345
66,BENGALURU,VISAKHAPATNAM,BLR,VTZ,BLR-VTZ,254444,269149,523593,0.3849,62.0194
67,BENGALURU,PATNA,BLR,PAT,BLR-PAT,251780,255111,506891,0.3726,62.3921
68,MUMBAI,MANGALORE,BOM,IXE,BOM-IXE,249660,246533,496193,0.3648,62.7568
69,BENGALURU,MANGALORE,BLR,IXE,BLR-IXE,245074,249222,494296,0.3634,63.1202
70,JAMMU,SRINAGAR,IXJ,SXR,IXJ-SXR,266207,227337,493544,0.3628,63.483
71,BHUBANESWAR,KOLKATA,BBI,CCU,BBI-CCU,245533,246389,491922,0.3616,63.8447
72,BHOPAL,DELHI,BHO,DEL,BHO-DEL,248464,239160,487624,0.3585,64.2032
73,KOCHI,HYDERABAD,COK,HYD,COK-HYD,239682,246709,486391,0.3576,64.5607
74,MUMBAI,PATNA,BOM,PAT,BOM-PAT,242579,242629,485208,0.3567,64.9174
75,DELHI,VISAKHAPATNAM,DEL,VTZ,DEL-VTZ,241181,235569,476750,0.3505,65.2679
76,DELHI,SURAT,DEL,STV,DEL-STV,240682,234348,475030,0.3492,65.6171
77,DELHI,VADODARA,DEL,BDQ,DEL-BDQ,229423,235508,464931,0.3418,65.9589
78,KOLKATA,PORT BLAIR,CCU,IXZ,CCU-IXZ,225519,235710,461229,0.3391,66.298
79,BENGALURU,TRIVANDRUM,BLR,TRV,BLR-TRV,218107,236343,454450,0.3341,66.632
80,BENGALURU,RANCHI,BLR,IXR,BLR-IXR,218180,223284,441464,0.3245,66.9566
81,AHMEDABAD,KOLKATA,AMD,CCU,AMD-CCU,224318,216215,440533,0.3239,67.2804
82,CHENNAI,PORT BLAIR,MAA,IXZ,MAA-IXZ,217764,221020,438784,0.3226,67.603
83,AHMEDABAD,PUNE,AMD,PNQ,AMD-PNQ,222821,214984,437805,0.3218,67.9249
84,AHMEDABAD,DABOLIM,AMD,GOI,AMD-GOI,207740,215186,422926,0.3109,68.2358
85,COIMBATORE,HYDERABAD,CJB,HYD,CJB-HYD,211107,209326,420433,0.3091,68.5448
86,AHMEDABAD,HYDERABAD,AMD,HYD,AMD-HYD,213114,205777,418891,0.3079,68.8528
87,GUWAHATI,IMPHAL,GAU,IMF,GAU-IMF,199280,218405,417685,0.3071,69.1598
88,HYDERABAD,PUNE,HYD,PNQ,HYD-PNQ,207833,209325,417158,0.3067,69.4665
89,NAGPUR,PUNE,NAG,PNQ,NAG-PNQ,211998,200121,412119,0.303,69.7695
90,HYDERABAD,JAIPUR,HYD,JAI,HYD-JAI,210795,200363,411158,0.3023,70.0717
91,KOLKATA,PUNE,CCU,PNQ,CCU-PNQ,198410,205251,403661,0.2967,70.3685
92,MUMBAI,RAIPUR,BOM,RPR,BOM-RPR,197510,197006,394516,0.29,70.6585
93,BENGALURU,CHANDIGARH,BLR,IXC,BLR-IXC,200680,192702,393382,0.2892,70.9477
94,BAGDOGRA,BENGALURU,IXB,BLR,IXB-BLR,198683,193142,391825,0.288,71.2357
95,MUMBAI,SRINAGAR,BOM,SXR,BOM-SXR,149133,235130,384263,0.2825,71.5182
96,MUMBAI,COIMBATORE,BOM,CJB,BOM-CJB,188053,189242,377295,0.2774,71.7956
97,IMPHAL,KOLKATA,IMF,CCU,IMF-CCU,188308,173909,362217,0.2663,72.0619
98,AMRITSAR,MUMBAI,ATQ,BOM,ATQ-BOM,178826,179084,357910,0.2631,72.325
99,CHENNAI,MADURAI,MAA,IXM,MAA-IXM,175872,174297,350169,0.2574,72.5824
100,COIMBATORE,DELHI,CJB,DEL,CJB-DEL,174312,170563,344875,0.2535,72.8359
101,BENGALURU,VARANASI,BLR,VNS,BLR-VNS,165467,177890,343357,0.2524,73.0884
102,JAIPUR,KOLKATA,JAI,CCU,JAI-CCU,167180,175591,342771,0.252,73.3403
103,MUMBAI,GUWAHATI,BOM,GAU,BOM-GAU,166757,172107,338864,0.2491,73.5895
104,MUMBAI,DEHRADUN,BOM,DED,BOM-DED,174407,163846,338253,0.2487,73.8381
105,MUMBAI,RANCHI,BOM,IXR,BOM-IXR,161821,172835,334656,0.246,74.0841
106,BHUBANESWAR,HYDERABAD,BBI,HYD,BBI-HYD,168533,164404,332937,0.2448,74.3289
107,MUMBAI,VADODARA,BOM,BDQ,BOM-BDQ,158026,168836,326862,0.2403,74.5692
108,DELHI,TRIVANDRUM,DEL,TRV,DEL-TRV,161062,165079,326141,0.2398,74.8089
109,MUMBAI,RAJKOT,BOM,,MUMBAI-RAJKOT,163744,159531,323275,0.2377,75.0466
110,CHENNAI,TRIVANDRUM,MAA,TRV,MAA-TRV,157302,164276,321578,0.2364,75.283
111,DELHI,RAJKOT,DEL,,DELHI-RAJKOT,160328,159593,319921,0.2352,75.5182
112,BHOPAL,MUMBAI,BHO,BOM,BHO-BOM,162060,155433,317493,0.2334,75.7516
113,BENGALURU,NAGPUR,BLR,NAG,BLR-NAG,152975,161467,314442,0.2312,75.9827
114,CHENNAI,GUWAHATI,MAA,GAU,MAA-GAU,153960,152931,306891,0.2256,76.2083
115,DELHI,GORAKHPUR,DEL,,DELHI-GORAKHPUR,155043,150962,306005,0.225,76.4333
116,MUMBAI,TRIVANDRUM,BOM,TRV,BOM-TRV,149722,156071,305793,0.2248,76.6581
117,AHMEDABAD,CHENNAI,AMD,MAA,AMD-MAA,152649,146948,299597,0.2202,76.8783
118,BENGALURU,INDORE,BLR,IDR,BLR-IDR,143583,153793,297376,0.2186,77.097
119,BENGALURU,COIMBATORE,BLR,CJB,BLR-CJB,142912,154357,297269,0.2185,77.3155
120,HYDERABAD,INDORE,HYD,IDR,HYD-IDR,135596,144856,280452,0.2062,77.5217
121,CHANDIGARH,SRINAGAR,IXC,SXR,IXC-SXR,132485,137429,269914,0.1984,77.7201
122,MUMBAI,JODHPUR,BOM,JDH,BOM-JDH,135187,134311,269498,0.1981,77.9182
123,KOLKATA,LUCKNOW,CCU,LKO,CCU-LKO,127243,141649,268892,0.1977,78.1159
124,HYDERABAD,VIJAYAWADA,HYD,,HYDERABAD-VIJAYAWADA,131660,131080,262740,0.1932,78.309
125,CHENNAI,VISAKHAPATNAM,MAA,VTZ,MAA-VTZ,126750,135902,262652,0.1931,78.5021
